ID,Site,Longitude UTM,Latitude UTM,Elevation,Gorge,Site Nickname,Discoverer,Date of Discovery,Publication,ISBN 10,Site Pager,Number of Figures,Figure Category,Distance to next Site,Next Site,Cardinal Points,Painting Location,Water in Sight,Water Availability,Open Field in Sight,Open Field,Living Place,Spatiality,Visibility,Context,View from Site,Evidence of Human Occupation,Degradation of Paintings,Quantity of Artefacts,Lithics,Pottery,O.E.S.,Bone,Charcoal,Grinding Implements,Stone Structures,Miscellenous Artefact,Remarks
1,A 1,446253.881,7657736.830,1343.3374,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 1,44,4,590.7813,A 4,SE,5; 6,,>300m,,adjacent,unfavourable,19,<15m,isolated,magnificent,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
2,A 2,447469.166,7657906.650,1349.5029,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 2,91,3,43.481,A 3,NW,5; 8; 11,,within shouting distance,True,within shouting distance,spacious,16,<15m,marginal,poor,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
3,A 3,447975.713,7657099.186,1354.0356,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 3,223,2,43.481,A 2,NW,5; 6; 10,,within shouting distance,,within shouting distance,spacious,10,<15m,marginal,poor,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
4,A 4,447109.612,7657549.098,1341.285,Amis,,Toiwo & Shipahu,21.03.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 4,6,5,100.1964,A 65,W,1; 6,,within shouting distance,,within shouting distance,± vertical rock,1,<3m,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
5,A 5,448825.622,7658564.742,1672.6736,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 5,35,4,188.4601,A 7,N; SE; S,1; 3; 7; 8; 11; 12,,within shouting distance,,adjacent,unfavourable,8,>15m,isolated,rather nice,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
6,A 6,448649.436,7658354.818,1784.7783,Amis,„Lufthöhle“,P.Swoboda,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 6,635,1,57.5576,A 23,SW,5; 6; 10; 11,,<300m,True,within shouting distance,spacious,16,<15m,marginal,magnificent,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
7,A 7,448591.553,7657093.452,1718.5833,Amis,,Toiwo & Shipahu,25.04.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 7,18,5,132.072,A 14,SE,5,,within shouting distance,,>300m,unfavourable,5,<1m,isolated,magnificent,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
8,A 8,448840.453,7658352.036,1761.2892,Amis,,Toiwo & Shipahu,08.04.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 8,7,5,37.6302,A 13,SE,5,,<300m,,within shouting distance,unfavourable,22,<1m,marginal,rather nice,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
9,A 9,448391.346,7658824.177,1780.2409,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 9,64,3,68.9453,A 6,N; W,1,,within shouting distance,,adjacent,± vertical rock,0,<15m,marginal,rather nice,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
10,A 10,449507.845,7657079.007,1800.6982,Amis,„Riesenhöhle“,Jipsen,08.07.1971,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 10,1072,1,232.9073,A 12,W,5; 6,,>300m,,<300m,spacious,50,<3m,isolated,poor,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
