ID,Site,Longitude UTM,Latitude UTM,Elevation,Gorge,Site Nickname,Discoverer,Date of Discovery,Publication,ISBN 10,Site Pager,Number of Figures,Figure Category,Distance to next Site,Next Site,Cardinal Points,Painting Location,Water in Sight,Water Availability,Open Field in Sight,Open Field,Living Place,Spatiality,Visibility,Context,View from Site,Evidence of Human Occupation,Degradation of Paintings,Quantity of Artefacts,Lithics,Pottery,O.E.S.,Bone,Charcoal,Grinding Implements,Stone Structures,Miscellenous Artefact,Remarks,ID
1,A 1,446253.881,7657736.830,13433374,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 1,44,4,5907813,A 4,SE,5; 6,null,>300m,null,adjacent,unfavourable,19,<15m,isolated,magnificent,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,1
2,A 2,447469.166,7657906.650,13495029,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 2,91,3,43481,A 3,NW,5; 8; 11,null,within shouting distance,TRUE,within shouting distance,spacious,16,<15m,marginal,poor,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,,2
3,A 3,447975.713,7657099.186,13540356,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 3,223,2,43481,A 2,NW,5; 6; 10,null,within shouting distance,null,within shouting distance,spacious,10,<15m,marginal,poor,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,,3
4,A 4,447109.612,7657549.098,1341285,Amis,,Toiwo & Shipahu,21.03.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 4,6,5,1001964,A 65,W,1; 6,null,within shouting distance,null,within shouting distance,± vertical rock,1,<3m,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,,4
5,A 5,448825.622,7658564.742,16726736,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 5,35,4,1884601,A 7,N; SE; S,1; 3; 7; 8; 11; 12,null,within shouting distance,null,adjacent,unfavourable,8,>15m,isolated,rather nice,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,5
6,A 6,448649.436,7658354.818,17847783,Amis,„Lufthöhle“,P.Swoboda,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 6,635,1,575576,A 23,SW,5; 6; 10; 11,null,<300m,TRUE,within shouting distance,spacious,16,<15m,marginal,magnificent,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,,6
7,A 7,448591.553,7657093.452,17185833,Amis,,Toiwo & Shipahu,25.04.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 7,18,5,132072,A 14,SE,5,null,within shouting distance,null,>300m,unfavourable,5,<1m,isolated,magnificent,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,7
8,A 8,448840.453,7658352.036,17612892,Amis,,Toiwo & Shipahu,08.04.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 8,7,5,376302,A 13,SE,5,null,<300m,null,within shouting distance,unfavourable,22,<1m,marginal,rather nice,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,8
9,A 9,448391.346,7658824.177,17802409,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 9,64,3,689453,A 6,N; W,1,null,within shouting distance,null,adjacent,± vertical rock,0,<15m,marginal,rather nice,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,9
10,A 10,449507.845,7657079.007,18006982,Amis,„Riesenhöhle“,Jipsen,08.07.1971,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 10,1072,1,2329073,A 12,W,5; 6,null,>300m,null,<300m,spacious,50,<3m,isolated,poor,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,,10
11,A 11,448708.815,7658874.588,17889833,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 11,20,4,883146,A 20,SE,5,null,>300m,TRUE,within shouting distance,spacious,23,<3m,isolated,rather nice,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,,11
12,A 12,448239.545,7658678.340,17704658,Amis,,Gebhardt,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 12,186,3,1815717,A 13,N; SW,1; 4; 5; 7; 8; 9; 10; 11; 12,null,>300m,TRUE,within shouting distance,spacious,22,<15m,marginal,rather nice,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,,12
13,A 13,448904.224,7658244.137,17561315,Amis,,Toiwo & Shipahu,15.07.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 13,32,4,376302,A 8,S,1,null,>300m,null,adjacent,± vertical rock,3,>15m,central,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,,13
14,A 14,448008.870,7657451.739,17199328,Amis,,Toiwo & Shipahu,08.04.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 14,20,4,337199,A 15,NE,5; 6,null,>300m,null,within shouting distance,unfavourable,10,<15m,marginal,poor,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,,14
15,A 15,448105.791,7657818.465,17187034,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 15,5,5,337199,A 14,S,1,null,>300m,null,adjacent,± vertical rock,0,NA,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,,15
16,A 16,448626.647,7657928.302,1714557,Amis,,Toiwo & Shipahu,08.04.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 16,25,4,489106,A 15,SE,1; 6,null,>300m,TRUE,within shouting distance,unfavourable,10,<3m,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,,16
17,A 17,448667.040,7657419.084,17231372,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 17,40,4,2569919,A 16,SW,5; 6,null,>300m,TRUE,within shouting distance,spacious,25,<15m,isolated,magnificent,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,,17
18,A 18,448914.771,7657794.885,17849667,Amis,,,14.05.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 18,2,6,3049407,A 19,SW,6,null,>300m,null,adjacent,± vertical rock,4,<1m,isolated,poor,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,,18
19,A 19,448977.449,7656987.401,18173589,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 19,11,5,3049407,A 18,SW,10,null,>300m,null,adjacent,spacious,14,<1m,isolated,magnificent,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,,19
20,A 20,448389.105,7658373.803,17918049,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 20,2,6,883146,A 11,SW,5,null,>300m,TRUE,within shouting distance,spacious,15,<15m,marginal,poor,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,,20
21,A 21,448381.352,7658833.914,17983182,Amis,,Shipahu,08.05.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 21,3,6,2135034,A 23,S,5,null,>300m,TRUE,<300m,unfavourable,2,<1m,marginal,NA,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,,21
22,A 22,448583.504,7658434.745,1749073,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 22,209,2,1744522,A 25,N; SE; SW,1; 3; 5; 12,null,<300m,null,adjacent,unfavourable,11,<15m,central,rather nice,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,If good rain; then water on site,22
23,A 23,448607.311,7658333.987,17755784,Amis,,Toiwo & Shipahu,28.03.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 23,4,6,575576,A 6,NE,1,null,<300m,null,adjacent,± vertical rock,1,<15m,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,,23
24,A 24,448302.881,7658962.881,17392993,Amis,,Toiwo & Shipahu,28.03.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 24,12,5,1021343,A 25,NW,1,null,<300m,null,within shouting distance,± vertical rock,0,<1m,marginal,magnificent,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,,24
25,A 25,448135.840,7658643.135,17439066,Amis,,Toiwo & Shipahu,04.05.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 25,54,4,1021343,A 24,E,1,null,<300m,TRUE,within shouting distance,± vertical rock,1,>15m,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,,25
